PartName,ColorName,Qty
Technic Bush 1/2 Smooth,Dark Pink,4
"Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5",Medium Azure,2
"Technic, Pin without Friction Ridges",Yellow,10
"Technic, Axle 10L",Red,1
"Technic, Liftarm, Modified Frame Thick 7 x 11 Open Center",Black,1
"Technic, Liftarm Thick 1 x 13",Yellow,2
Tire 43.2 x 22 ZR,Black,3
Wheel 30.4mm D. x 20mm with No Pin Holes and Reinforced Rim,Black,3
"Electric, Motor 12V Type 1 for 2-prong connectors without Middle Pin",White,2
"Technic, Liftarm, Modified Frame Thick 5 x 7 Open Center",Black,2
"Technic, Pin 3L with Friction Ridges",Blue,6
,,
Total qty,,
36,,
,,
